Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.296875,5.296875,5.132813,5.156250,2.374470,4096800
2000-01-04,5.125000,5.265625,5.125000,5.250000,2.417643,5487200
2000-01-05,5.203125,5.531250,5.203125,5.421875,2.496793,5488800
2000-01-06,5.429688,5.476563,5.375000,5.421875,2.496793,2960000
2000-01-07,5.453125,5.601563,5.406250,5.578125,2.568744,7999200
2000-01-10,5.500000,5.570313,5.476563,5.531250,2.547159,4168000
2000-01-11,5.484375,5.515625,5.445313,5.468750,2.518378,4122400
2000-01-12,5.468750,5.617188,5.468750,5.585938,2.572343,6193600
2000-01-13,5.601563,5.601563,5.500000,5.531250,2.547159,3674400
2000-01-14,5.515625,5.546875,5.390625,5.429688,2.500390,4070400
2000-01-18,5.398438,5.398438,5.250000,5.296875,2.439229,5408000
2000-01-19,5.304688,5.500000,5.304688,5.421875,2.496793,3433600
2000-01-20,5.359375,5.390625,5.273438,5.359375,2.468010,5560000
2000-01-21,5.390625,5.523438,5.335938,5.500000,2.532768,4039200
2000-01-24,5.539063,5.648438,5.453125,5.468750,2.518378,6968800
2000-01-25,5.492188,5.523438,5.234375,5.281250,2.432033,6890400
2000-01-26,5.312500,5.320313,5.203125,5.296875,2.439229,4121600
2000-01-27,5.250000,5.312500,5.156250,5.187500,2.388860,3752800
2000-01-28,5.187500,5.242188,5.132813,5.164063,2.378069,4688000
2000-01-31,5.195313,5.273438,5.164063,5.273438,2.428435,2659200
2000-02-01,5.226563,5.250000,5.164063,5.164063,2.378069,2516000
2000-02-02,5.195313,5.234375,5.164063,5.195313,2.392459,5120000
2000-02-03,5.195313,5.398438,5.171875,5.359375,2.468010,7605600
2000-02-04,5.359375,5.359375,5.132813,5.203125,2.396057,4384800
2000-02-07,5.203125,5.257813,5.203125,5.210938,2.399655,4015200
2000-02-08,5.250000,5.289063,5.203125,5.226563,2.406850,3130400
2000-02-09,5.195313,5.242188,5.125000,5.156250,2.374470,5622400
2000-02-10,5.148438,5.195313,5.015625,5.039063,2.320504,3177600
2000-02-11,5.070313,5.109375,5.031250,5.109375,2.352884,2848800
2000-02-14,5.078125,5.171875,5.062500,5.093750,2.345690,2068800
2000-02-15,5.070313,5.132813,5.062500,5.109375,2.352884,3612800
2000-02-16,5.109375,5.171875,5.085938,5.117188,2.356482,7360000
2000-02-17,5.132813,5.140625,5.070313,5.125000,2.360080,5864000
2000-02-18,5.109375,5.132813,5.015625,5.039063,2.320504,10255200
2000-02-22,5.062500,5.148438,5.062500,5.109375,2.352884,4006400
2000-02-23,5.007813,5.062500,4.906250,5.023438,2.344280,18380000
2000-02-24,4.960938,4.968750,4.671875,4.750000,2.216675,6168000
2000-02-25,4.750000,4.765625,4.546875,4.601563,2.147404,5560800
2000-02-28,4.601563,4.765625,4.601563,4.765625,2.223968,5476000
2000-02-29,4.765625,4.851563,4.710938,4.828125,2.253134,9773600
2000-03-01,4.828125,4.898438,4.757813,4.820313,2.249489,12016000
2000-03-02,4.789063,4.875000,4.789063,4.851563,2.264071,4716800
2000-03-03,4.890625,4.937500,4.851563,4.875000,2.275009,9020800
2000-03-06,4.906250,4.906250,4.710938,4.742188,2.213029,5432800
2000-03-07,4.750000,4.929688,4.742188,4.914063,2.293238,9948800
2000-03-08,4.906250,5.195313,4.851563,5.164063,2.409905,7708000
2000-03-09,5.171875,5.351563,5.164063,5.351563,2.497405,8442400
2000-03-10,5.351563,5.546875,5.343750,5.468750,2.552094,9176000
2000-03-13,5.437500,5.445313,5.203125,5.265625,2.457301,7949600
2000-03-14,5.281250,5.351563,5.218750,5.234375,2.442719,5797600
2000-03-15,5.242188,5.617188,5.234375,5.546875,2.588553,7091200
2000-03-16,5.585938,5.726563,5.445313,5.625000,2.625011,7689600
2000-03-17,5.609375,5.617188,5.468750,5.484375,2.559384,10521600
2000-03-20,5.453125,5.554688,5.328125,5.382813,2.511990,6745600
2000-03-21,5.304688,5.367188,5.148438,5.171875,2.413551,8244800
2000-03-22,5.179688,5.179688,4.945313,5.093750,2.377093,5840000
2000-03-23,5.218750,5.367188,5.195313,5.312500,2.479177,7215200
2000-03-24,5.437500,5.445313,5.312500,5.414063,2.526571,9632000
2000-03-27,6.000000,6.031250,5.812500,5.828125,2.719803,10875200
2000-03-28,5.796875,5.835938,5.585938,5.679688,2.650531,6492800
2000-03-29,5.648438,5.796875,5.507813,5.578125,2.603135,6240000
2000-03-30,5.601563,5.750000,5.593750,5.750000,2.683345,4350400
2000-03-31,5.750000,5.820313,5.609375,5.757813,2.686990,7694400
2000-04-03,5.742188,5.750000,5.601563,5.664063,2.643241,6110400
2000-04-04,5.632813,5.781250,5.632813,5.773438,2.694282,7833600
2000-04-05,5.750000,5.921875,5.750000,5.757813,2.686990,7571200
2000-04-06,5.804688,5.828125,5.671875,5.718750,2.668761,5753600
2000-04-07,5.750000,5.867188,5.671875,5.820313,2.716157,6335200
2000-04-10,5.820313,5.898438,5.718750,5.898438,2.752618,6317600
2000-04-11,5.890625,5.890625,5.773438,5.843750,2.727094,3804800
2000-04-12,5.828125,6.007813,5.828125,5.906250,2.756262,7702400
2000-04-13,5.929688,5.945313,5.859375,5.882813,2.745324,3380800
2000-04-14,5.835938,5.875000,5.593750,5.687500,2.654179,7104800
2000-04-17,5.523438,5.562500,5.242188,5.445313,2.541156,6863200
2000-04-18,5.398438,5.429688,5.226563,5.414063,2.526571,6824000
2000-04-19,5.390625,5.625000,5.351563,5.609375,2.617718,8913600
2000-04-20,5.515625,5.648438,5.507813,5.648438,2.635948,5198400
2000-04-24,5.601563,5.679688,5.593750,5.679688,2.650531,4993600
2000-04-25,5.710938,5.945313,5.664063,5.890625,2.748969,5890400
2000-04-26,5.859375,5.929688,5.820313,5.882813,2.745324,4828800
2000-04-27,5.843750,5.882813,5.632813,5.687500,2.654179,6790400
2000-04-28,5.656250,5.679688,5.593750,5.656250,2.639594,6540800
2000-05-01,5.750000,5.750000,5.617188,5.671875,2.646886,5548000
2000-05-02,5.656250,5.710938,5.593750,5.648438,2.635948,6198400
2000-05-03,5.640625,5.718750,5.640625,5.687500,2.654179,5279200
2000-05-04,5.656250,5.835938,5.601563,5.726563,2.672406,4792000
2000-05-05,5.703125,5.710938,5.625000,5.664063,2.643241,4509600
2000-05-08,5.671875,5.984375,5.671875,5.875000,2.741676,7367200
2000-05-09,5.843750,5.914063,5.765625,5.835938,2.723448,4941600
2000-05-10,5.867188,5.992188,5.867188,5.906250,2.756262,2488000
2000-05-11,5.968750,6.117188,5.921875,6.085938,2.840116,6208000
2000-05-12,6.070313,6.085938,5.914063,5.945313,2.774491,4776800
2000-05-15,5.945313,6.140625,5.945313,6.078125,2.836470,6464000
2000-05-16,6.046875,6.046875,5.859375,5.898438,2.752618,4908800
2000-05-17,5.882813,5.929688,5.742188,5.843750,2.727094,6268800
2000-05-18,5.875000,6.062500,5.875000,5.953125,2.778136,4024000
2000-05-19,5.921875,6.000000,5.890625,5.976563,2.789073,3089600
2000-05-22,5.968750,6.031250,5.937500,5.953125,2.778136,4304000
2000-05-23,5.968750,6.054688,5.921875,6.015625,2.807302,6583200
2000-05-24,5.976563,6.210938,5.976563,6.085938,2.872345,20843200
2000-05-25,6.031250,6.117188,5.976563,6.109375,2.883408,5025600
2000-05-26,6.078125,6.250000,6.062500,6.218750,2.935028,6811200
2000-05-30,6.218750,6.218750,6.101563,6.140625,2.898157,4888000
2000-05-31,6.148438,6.250000,6.109375,6.210938,2.931341,3460800
2000-06-01,6.187500,6.250000,6.132813,6.195313,2.923967,4449600
2000-06-02,6.148438,6.195313,6.125000,6.179688,2.916592,7083200
2000-06-05,6.156250,6.164063,5.929688,5.937500,2.802288,7558400
2000-06-06,5.945313,6.171875,5.945313,6.078125,2.868659,7020000
2000-06-07,6.093750,6.101563,5.968750,6.023438,2.842848,5506400
2000-06-08,6.023438,6.054688,5.890625,6.039063,2.850222,5392800
2000-06-09,6.054688,6.171875,6.031250,6.093750,2.876033,6099200
2000-06-12,6.109375,6.140625,6.078125,6.101563,2.879719,2933600
2000-06-13,6.125000,6.171875,6.031250,6.046875,2.853910,3352800
2000-06-14,6.039063,6.039063,5.953125,5.960938,2.813350,3475200
